DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES,Yogunluk
2024-10-09 11:00:00,41.0641479492188,28.8995361328125,sxk99e,3,52,19,88,Az
2024-10-05 22:00:00,41.0696411132813,29.0313720703125,sxk9ss,1,64,29,49,Az
2024-10-12 21:00:00,41.1740112304688,28.1195068359375,sx7fpz,76,161,99,49,Az
2024-10-03 00:00:00,41.2234497070313,28.8336181640625,sxkd80,9,147,87,200,Orta
2024-10-07 14:00:00,40.8718872070313,29.2950439453125,sxkbd8,6,134,60,346,Cok
2024-10-30 12:00:00,41.2014770507813,29.0203857421875,sxkdkk,10,63,38,10,Az
2024-10-25 02:00:00,41.0147094726563,28.9764404296875,sxk976,3,77,30,28,Az
2024-10-25 13:00:00,41.0586547851563,28.7017822265625,sxk3t4,1,123,42,558,Cok
2024-10-10 15:00:00,40.9323120117188,29.4268798828125,sxkbve,46,178,99,111,Orta
2024-10-31 12:00:00,41.0202026367188,28.7896728515625,sxk3r5,2,45,21,99,Az
2024-10-14 17:00:00,41.0861206054688,28.8665771484375,sxk98z,5,102,37,204,Orta
2024-10-07 07:00:00,41.0586547851563,28.8116455078125,sxk3xd,1,124,33,905,Cok
2024-10-14 04:00:00,41.0861206054688,28.8446044921875,sxk98r,49,128,71,13,Az
2024-10-30 00:00:00,41.0531616210938,29.2730712890625,sxkcd1,60,145,90,170,Orta
2024-10-09 05:00:00,40.9927368164063,28.8446044921875,sxk90q,2,135,57,244,Orta
2024-10-08 12:00:00,41.0256958007813,28.6798095703125,sxk3ks,1,106,53,567,Cok
2024-10-07 12:00:00,40.9927368164063,29.1961669921875,sxkc0q,5,56,24,92,Az
2024-10-08 16:00:00,41.2399291992188,28.5589599609375,sxk69g,27,139,74,26,Az
2024-10-29 17:00:00,41.1135864257813,29.0203857421875,sxk9uk,8,80,50,91,Az
2024-10-13 12:00:00,41.1026000976563,28.3062744140625,sxk1u4,66,143,96,45,Az
2024-10-10 06:00:00,41.0586547851563,28.4930419921875,sxk386,60,157,94,109,Orta
2024-10-11 18:00:00,41.2399291992188,28.6248779296875,sxk6e7,61,177,106,201,Orta
2024-10-01 21:00:00,41.0421752929688,29.0423583984375,sxk9kz,3,87,51,243,Orta
2024-10-29 23:00:00,40.9158325195313,29.1412353515625,sxk8z0,4,74,28,36,Az
2024-10-29 13:00:00,41.2783813476563,28.6358642578125,sxk6gd,47,128,85,31,Az
2024-10-15 13:00:00,41.1630249023438,28.8885498046875,sxkd1m,25,134,82,265,Orta
2024-10-14 19:00:00,41.0586547851563,29.0753173828125,sxk9td,5,62,21,58,Az
2024-10-17 14:00:00,40.9707641601563,28.6798095703125,sxk3hd,5,59,28,87,Az
2024-10-24 13:00:00,41.1685180664063,28.5479736328125,sxk61w,57,150,97,114,Orta
2024-10-07 09:00:00,40.9158325195313,29.3280029296875,sxkbg2,24,140,71,397,Cok
2024-10-25 16:00:00,41.0202026367188,28.8885498046875,sxk937,2,84,20,257,Orta
2024-10-21 05:00:00,41.2234497070313,28.8446044921875,sxkd82,66,153,94,123,Orta
2024-10-05 04:00:00,41.0586547851563,28.9105224609375,sxk99f,3,82,29,36,Az
2024-10-04 13:00:00,41.0971069335938,28.6138916015625,sxk3g1,23,141,82,91,Az
2024-10-19 22:00:00,40.9982299804688,29.0863037109375,sxk9jz,4,52,22,45,Az
2024-10-26 22:00:00,41.1685180664063,28.7677001953125,sxk6nw,34,120,74,87,Az
2024-10-26 22:00:00,41.0916137695313,29.3609619140625,sxkcu0,18,119,59,19,Az
2024-10-03 15:00:00,41.0037231445313,28.7677001953125,sxk3q8,5,65,34,50,Az
2024-10-16 10:00:00,41.1190795898438,29.3829345703125,sxkcut,73,144,89,21,Az
2024-10-08 16:00:00,40.9268188476563,29.1632080078125,sxk8zd,8,43,24,49,Az
2024-10-10 17:00:00,41.0037231445313,29.0753173828125,sxk9m8,1,103,25,544,Cok
2024-10-06 16:00:00,41.0092163085938,28.7017822265625,sxk3m1,3,60,25,98,Az
2024-10-29 11:00:00,41.0861206054688,28.9984130859375,sxk9ez,1,50,22,64,Az
